id,name,company_name,email,first_touch_channel,last_touch_channel
312,Ailbert Bruneton,Bashirian-Carter,abruneton8n@yandex.ru,channel2,channel2
313,Sib Vanyushkin,Swaniawski LLC,svanyushkin8o@independent.co.uk,channel5,channel1
314,Adolphus Hewertson,Pacocha and Sons,ahewertson8p@archive.org,channel5,channel5
315,Raff Aldus,Witting-Schaefer,raldus8q@liveinternet.ru,channel2,channel2
316,Shandie Itzhak,Jacobs-Pouros,sitzhak8r@nih.gov,channel5,channel1
317,Johanna Auger,"Keebler, Ziemann and Ratke",jauger8s@msn.com,channel5,channel2
318,Corrina Sterricker,"Tremblay, Schmidt and Goodwin",csterricker8t@nymag.com,channel5,channel4
319,Jacques Drewett,Dickens LLC,jdrewett8u@slate.com,channel4,channel1
320,Whitney Hyams,Kerluke Inc,whyams8v@sourceforge.net,channel1,channel4
321,Jared Coetzee,Torphy Group,jcoetzee8w@whitehouse.gov,channel2,channel4
322,Arlan Outright,"Schmeler, Schultz and Kautzer",aoutright8x@gmpg.org,channel1,channel2
323,Crin Gason,D'Amore Group,cgason8y@kickstarter.com,channel1,channel4
324,Saundra Ramsey,Dicki-Jones,sramsey8z@skype.com,channel1,channel3
325,Dyan Lantiff,Huel Inc,dlantiff90@examiner.com,channel3,channel3
326,Mercedes Aubry,Bashirian Group,maubry91@blogs.com,channel3,channel3
327,Jolee Matelyunas,"Dietrich, Berge and Rath",jmatelyunas92@state.tx.us,channel5,channel3
328,Orville Pieper,Kohler-Kuhn,opieper93@squidoo.com,channel5,channel5
329,Algernon Morigan,"Mayert, Pfannerstill and Goldner",amorigan94@wp.com,channel5,channel5
330,Annabelle Trevaskiss,"Schmitt, Balistreri and Rutherford",atrevaskiss95@deliciousdays.com,channel5,channel3
331,Wolf Crichton,"Feeney, Schamberger and Walter",wcrichton96@netvibes.com,channel3,channel5
332,Carla Crowne,Dare Inc,ccrowne97@twitter.com,channel5,channel5
333,Vita Denny,"Schamberger, Moen and Murazik",vdenny98@slashdot.org,channel5,channel4
334,Goddard Dewey,Kulas and Sons,gdewey99@webeden.co.uk,channel4,channel4
335,Cointon Anlay,Fritsch Inc,canlay9a@nbcnews.com,channel4,channel4
336,Kinny Frill,Cummings Inc,kfrill9b@comcast.net,channel5,channel2
337,Andres Gerant,Larkin and Sons,agerant9c@de.vu,channel4,channel2
338,Somerset Griffin,Welch Group,sgriffin9d@cnbc.com,channel2,channel2
339,Bart Legendre,"Toy, Robel and Runolfsdottir",blegendre9e@timesonline.co.uk,channel2,channel3
340,Birgit Sanchis,Klocko and Sons,bsanchis9f@flavors.me,channel5,channel1
341,Winston Ephson,Aufderhar-Labadie,wephson9g@wordpress.com,channel4,channel5
342,Michelina Wanek,"Zulauf, Prosacco and Stark",mwanek9h@mysql.com,channel2,channel2
343,Jorge Seleway,Tremblay-Ullrich,jseleway9i@cnet.com,channel2,channel4
344,Kingsley Kynston,Cartwright-Kiehn,kkynston9j@tamu.edu,channel3,channel2
345,Anderson Whittleton,Turner LLC,awhittleton9k@exblog.jp,channel4,channel2
346,Daile Whiteson,Kuphal and Sons,dwhiteson9l@apache.org,channel2,channel4
347,Georgeanne Whitehurst,Pacocha Inc,gwhitehurst9m@hatena.ne.jp,channel2,channel5
348,Glynda Boskell,Lind-Olson,gboskell9n@marriott.com,channel1,channel4
349,Ulrich Sulley,Hackett Group,usulley9o@blinklist.com,channel3,channel5
350,Brynne Harman,Von-Towne,bharman9p@java.com,channel5,channel1
351,Alikee Chadbourn,Volkman-Cummings,achadbourn9q@xing.com,channel5,channel1
352,Rhea Dimbylow,Wyman-Mante,rdimbylow9r@icq.com,channel1,channel2
353,Laurice Tassaker,"Raynor, Luettgen and Thiel",ltassaker9s@dropbox.com,channel3,channel5
354,Ingrim Bartozzi,Buckridge-Steuber,ibartozzi9t@yahoo.co.jp,channel4,channel5
355,Kerri Wellard,Kirlin Group,kwellard9u@vistaprint.com,channel4,channel1
356,Bent Bayly,Spencer Group,bbayly9v@toplist.cz,channel1,channel5
357,Piggy Marklow,Lakin Group,pmarklow9w@chicagotribune.com,channel1,channel1
358,Ailsun Heinl,McKenzie-Prohaska,aheinl9x@gov.uk,channel1,channel1
359,Erhard Jacquet,"Satterfield, Cremin and Hickle",ejacquet9y@chron.com,channel5,channel5
360,Darrin Spirritt,"Grant, Kunde and Weimann",dspirritt9z@virginia.edu,channel4,channel3
361,Bernadene Planke,"Welch, Cole and Thiel",bplankea0@irs.gov,channel5,channel2
362,Corie Learie,Hansen Group,cleariea1@dedecms.com,channel4,channel1
363,Clarey Arkwright,"Prohaska, Torphy and Okuneva",carkwrighta2@newsvine.com,channel1,channel2
364,Riccardo Fireman,Halvorson-Reilly,rfiremana3@ehow.com,channel2,channel1
365,Muriel Howton,"Mante, Schmidt and Reinger",mhowtona4@google.de,channel3,channel5
366,Simone Duggon,"Skiles, Dare and Schmidt",sduggona5@behance.net,channel2,channel3
367,Babara Duggleby,"Corkery, Robel and Daugherty",bdugglebya6@about.com,channel1,channel5
368,Jorrie Marquis,"Weber, Padberg and Kutch",jmarquisa7@state.tx.us,channel5,channel5
369,Upton Croan,Jaskolski-Murray,ucroana8@ehow.com,channel1,channel5
370,Griffy Noor,Adams Group,gnoora9@japanpost.jp,channel2,channel4
371,Steward Belli,"Hilll, Romaguera and Marvin",sbelliaa@mozilla.org,channel3,channel1
372,Iver Tacey,"Sawayn, Wilderman and Stracke",itaceyab@jugem.jp,channel3,channel4
373,Bo Boddy,"Emmerich, Rohan and Conn",bboddyac@theglobeandmail.com,channel2,channel1
374,Georgianne Casari,"Frami, Adams and Reinger",gcasariad@ox.ac.uk,channel2,channel3
375,Keven Tuberfield,"Lockman, Klein and Harvey",ktuberfieldae@addthis.com,channel2,channel5
376,Angelia Davidi,Weimann LLC,adavidiaf@amazonaws.com,channel2,channel2
377,Coleen Weyland,"Ondricka, Boyle and O'Kon",cweylandag@techcrunch.com,channel5,channel3
378,Angele Avrahm,"Powlowski, Okuneva and Moore",aavrahmah@wordpress.org,channel4,channel2
379,Raimund Gudgion,Cummings and Sons,rgudgionai@rambler.ru,channel5,channel2
380,Annmaria Phelip,"Spinka, Gleason and Hegmann",aphelipaj@google.it,channel2,channel3
381,Leisha Leckie,Goyette Inc,lleckieak@facebook.com,channel4,channel3
382,Osmund Gonzalo,Haag-Schroeder,ogonzaloal@acquirethisname.com,channel5,channel1
383,Chuck Dendle,"Schroeder, Witting and Mueller",cdendleam@hugedomains.com,channel5,channel5
384,Clarette Darey,Rohan-Cummerata,cdareyan@liveinternet.ru,channel3,channel1
385,Trueman Meir,"Kutch, Murphy and Fahey",tmeirao@narod.ru,channel3,channel5
386,Hillier Gimbart,"Kub, Nitzsche and Kiehn",hgimbartap@cornell.edu,channel2,channel1
387,Odelle Avrahamoff,"Shanahan, Runte and Carter",oavrahamoffaq@aboutads.info,channel2,channel3
388,Clemmy Chappelle,Wiza-Stanton,cchappellear@vinaora.com,channel1,channel4
389,Marietta Fawlks,Breitenberg and Sons,mfawlksas@cornell.edu,channel2,channel3
390,Darrin Tovey,Kuhn and Sons,dtoveyat@yelp.com,channel3,channel2
391,Nessi Biffin,"Zieme, Gerlach and Runte",nbiffinau@bloomberg.com,channel1,channel5
392,Trip Greenroyd,Schoen Group,tgreenroydav@theguardian.com,channel4,channel3
393,Cosetta Mart,Legros-Mayer,cmartaw@amazon.co.jp,channel5,channel3
394,Avrom Tumilty,Marquardt-Champlin,atumiltyax@wix.com,channel2,channel3
395,Jonathan Wildgoose,"Ryan, Hane and Hoppe",jwildgooseay@bloglovin.com,channel2,channel1
396,Lew Smead,"Weimann, Homenick and Koelpin",lsmeadaz@samsung.com,channel4,channel5
397,Carissa May,"Senger, Bosco and Tromp",cmayb0@networksolutions.com,channel4,channel1
398,Wilie Barnaby,"Dare, Turner and Hessel",wbarnabyb1@miitbeian.gov.cn,channel4,channel3
399,Gaye Prayer,Doyle-Franecki,gprayerb2@hhs.gov,channel4,channel5
400,Daron Origin,Emmerich-Effertz,doriginb3@vinaora.com,channel1,channel4
401,Trisha Byers,"Gottlieb, Medhurst and Franecki",tbyersb4@youku.com,channel1,channel3
402,Janna Granger,"Rice, Senger and Stokes",jgrangerb5@dmoz.org,channel2,channel4
403,Pammi Wayper,"Willms, McDermott and Cummerata",pwayperb6@php.net,channel4,channel3
404,Gardiner Hildrew,"Braun, Hartmann and Schuppe",ghildrewb7@twitpic.com,channel3,channel5
405,Trumann Toone,Hayes LLC,ttooneb8@creativecommons.org,channel4,channel2
406,Berrie Eltringham,Hansen-Borer,beltringhamb9@elpais.com,channel4,channel4
407,Olimpia Reven,"Keeling, Jerde and Crona",orevenba@si.edu,channel2,channel5
408,Leola Teulier,Tromp-Robel,lteulierbb@facebook.com,channel5,channel3
409,Merline Essex,"Christiansen, Kuphal and Smith",messexbc@linkedin.com,channel2,channel2
410,Nari Prestner,"Glover, D'Amore and Prohaska",nprestnerbd@wired.com,channel1,channel3
411,Alie Tattersdill,Feest LLC,atattersdillbe@goo.ne.jp,channel1,channel5
412,Boigie Loxdale,Nitzsche-Watsica,bloxdalebf@homestead.com,channel3,channel2
413,Yasmeen Whittuck,O'Connell-Terry,ywhittuckbg@aol.com,channel3,channel2
414,Charil Cunnell,Schinner-Abshire,ccunnellbh@usnews.com,channel2,channel1
415,Adam Girardey,Kunze-Brown,agirardeybi@g.co,channel4,channel4
416,Trixie Cranidge,Weber-Howell,tcranidgebj@skype.com,channel3,channel4
417,Charlena Nevill,Leffler and Sons,cnevillbk@hostgator.com,channel4,channel3
418,Ambur Bassil,Tremblay-Shields,abassilbl@dailymotion.com,channel4,channel2
419,Lynnett Papaminas,Bins LLC,lpapaminasbm@arstechnica.com,channel2,channel4
420,Kelci Duce,"Feest, Lind and Moen",kducebn@scribd.com,channel4,channel5
421,Laurie Podbury,Braun-Armstrong,lpodburybo@usa.gov,channel3,channel2
422,Darsie Grimsdyke,"Buckridge, Boehm and Torp",dgrimsdykebp@slashdot.org,channel5,channel5
423,Julita Quartermain,Rohan-Morissette,jquartermainbq@scribd.com,channel2,channel3
424,Joaquin Andrea,Schimmel and Sons,jandreabr@dmoz.org,channel4,channel5
425,Kathryne McAndie,Koch-Trantow,kmcandiebs@slashdot.org,channel4,channel2
426,Harp MacBey,"Gorczany, Smitham and Skiles",hmacbeybt@nationalgeographic.com,channel4,channel4
427,Chance Monaghan,Marquardt and Sons,cmonaghanbu@cnet.com,channel1,channel4
428,Shawnee Cutchee,Hagenes and Sons,scutcheebv@t.co,channel5,channel5
429,Seymour McMonies,Kiehn and Sons,smcmoniesbw@narod.ru,channel3,channel2
430,Emilio Dmtrovic,Waters Inc,edmtrovicbx@free.fr,channel2,channel3
431,Wilfrid Hothersall,"Hamill, Hagenes and Robel",whothersallby@tinyurl.com,channel4,channel2
432,Gonzalo Atkirk,"Legros, Doyle and Reinger",gatkirkbz@ox.ac.uk,channel4,channel2
433,Koenraad Aberhart,Streich Inc,kaberhartc0@harvard.edu,channel4,channel3
434,Irma Renfield,Beatty-Casper,irenfieldc1@oaic.gov.au,channel5,channel3
435,Enrica Oloman,"Feeney, Considine and Gerhold",eolomanc2@youtu.be,channel4,channel1
436,Demetrius Spellesy,Satterfield-Hamill,dspellesyc3@vk.com,channel4,channel5
437,Ariel Foltin,Wunsch LLC,afoltinc4@ftc.gov,channel3,channel4
438,Monroe Beevors,"Abernathy, Cartwright and Ratke",mbeevorsc5@yahoo.co.jp,channel2,channel3
439,Alejandrina Stripp,Macejkovic-Wisozk,astrippc6@cloudflare.com,channel1,channel5
440,Chiarra Hunnicutt,"Weber, Smitham and Zboncak",chunnicuttc7@twitter.com,channel4,channel3
441,Henrieta Billington,"MacGyver, Gutmann and Rau",hbillingtonc8@shop-pro.jp,channel4,channel5
442,Emmalee Olijve,Rolfson-Pfannerstill,eolijvec9@google.co.uk,channel5,channel3
443,Westbrooke Myrtle,Bernier Inc,wmyrtleca@google.co.uk,channel1,channel3
444,Glynis Schach,Koch Inc,gschachcb@over-blog.com,channel5,channel3
445,Norman Mintram,Abbott Group,nmintramcc@acquirethisname.com,channel5,channel2
446,Sandie Gawthrope,Konopelski-Kuphal,sgawthropecd@dedecms.com,channel4,channel2
447,Amity Leeb,Lindgren-Abbott,aleebce@ocn.ne.jp,channel2,channel3
448,Leland Byllam,Wilkinson-Mosciski,lbyllamcf@guardian.co.uk,channel4,channel2
449,Erroll Kayley,Emmerich LLC,ekayleycg@go.com,channel2,channel2
450,Amalle Munday,Walter LLC,amundaych@lulu.com,channel5,channel5
451,Elihu Moubray,Walter Inc,emoubrayci@army.mil,channel5,channel3
452,Koralle Thamelt,Grady Group,kthameltcj@biglobe.ne.jp,channel5,channel3
453,Northrop Needs,"Crooks, Franecki and O'Reilly",nneedsck@stumbleupon.com,channel4,channel3
454,Charlena Savidge,"Fay, Fisher and Grady",csavidgecl@google.com.br,channel5,channel3
455,Paddie Gammack,"Heidenreich, Bauch and DuBuque",pgammackcm@walmart.com,channel5,channel3
456,Northrup Steffan,"Batz, Casper and Jast",nsteffancn@mashable.com,channel2,channel1
457,Jehu Chaperling,Schmidt-Howe,jchaperlingco@va.gov,channel3,channel2
458,Donnell Laffan,Donnelly Inc,dlaffancp@jugem.jp,channel4,channel4
459,Gallard Pyser,Kuvalis-Windler,gpysercq@a8.net,channel4,channel2
460,Gwen Blonden,"Botsford, Breitenberg and Block",gblondencr@themeforest.net,channel4,channel2
461,Granville Du Plantier,Schuster-Huels,gducs@tmall.com,channel4,channel1
462,Guillema Siggery,Barton-Mills,gsiggeryct@behance.net,channel4,channel3
463,Florencia Haps,Conn-Daniel,fhapscu@privacy.gov.au,channel4,channel1
464,Mano Vreede,Turner-Boehm,mvreedecv@arizona.edu,channel3,channel3
465,Constantia Fronek,Sauer Inc,cfronekcw@google.co.jp,channel3,channel4
466,Leigha Voelker,"Bahringer, Jacobson and Schamberger",lvoelkercx@friendfeed.com,channel5,channel1
467,Ahmad Gareisr,"Littel, Witting and Frami",agareisrcy@latimes.com,channel1,channel3
468,Kris Marven,Schaden-Schimmel,kmarvencz@arstechnica.com,channel5,channel4
469,Lilllie Beaby,Wehner and Sons,lbeabyd0@addtoany.com,channel2,channel5
470,Morissa Mathewson,Reinger LLC,mmathewsond1@istockphoto.com,channel5,channel2
471,Kristoffer Skipsea,"Lowe, Ritchie and Casper",kskipsead2@blogtalkradio.com,channel2,channel3
472,Karry Clara,Mosciski-D'Amore,kclarad3@google.com.au,channel3,channel3
473,Brunhilde Dark,"Wiegand, Macejkovic and Jacobs",bdarkd4@blog.com,channel5,channel1
474,Bab Twaite,"Morissette, Bartell and Brekke",btwaited5@blinklist.com,channel2,channel5
475,Tabor Gildersleaves,"Lowe, Marquardt and Sanford",tgildersleavesd6@i2i.jp,channel1,channel3
476,Morgan Madge,Stark-Auer,mmadged7@hp.com,channel2,channel2
477,Joy Delepine,"Lueilwitz, Weimann and Denesik",jdelepined8@rakuten.co.jp,channel5,channel4
478,Dyana Cottier,Hamill Group,dcottierd9@forbes.com,channel3,channel3
479,Maxy Ketteringham,Mitchell-Maggio,mketteringhamda@sina.com.cn,channel2,channel4
480,Bill Ubsdell,Heidenreich-Sanford,bubsdelldb@studiopress.com,channel1,channel4
481,Juli Pinchon,Cummings-Jakubowski,jpinchondc@blogs.com,channel5,channel3
482,Marian Perham,"Lowe, Raynor and Ritchie",mperhamdd@ftc.gov,channel3,channel5
483,Shepperd Godbolt,Hudson-Turcotte,sgodboltde@fotki.com,channel1,channel2
484,Belita Rumsby,Hettinger-Lebsack,brumsbydf@artisteer.com,channel5,channel2
485,Maisie Sowrey,Reichert Group,msowreydg@wsj.com,channel2,channel4
486,Myrlene Tapsfield,"Bosco, Kub and Bailey",mtapsfielddh@ustream.tv,channel3,channel4
487,Geoffry Hollyard,Rutherford-Pfeffer,ghollyarddi@bloglovin.com,channel3,channel2
488,Godard Lovemore,Armstrong-Sauer,glovemoredj@tiny.cc,channel2,channel1
489,Goldarina O'Neal,Kemmer-Cummerata,gonealdk@youku.com,channel2,channel3
490,Onfre Maddrah,Stehr and Sons,omaddrahdl@weather.com,channel2,channel1
491,Salim Bloggett,Lynch-Lakin,sbloggettdm@hostgator.com,channel3,channel2
492,Carmina McFetrich,"Herman, Dicki and Nader",cmcfetrichdn@tinypic.com,channel2,channel5
493,Benedetto Snepp,Goldner-Purdy,bsneppdo@pen.io,channel5,channel1
494,Genna Cordrey,Stamm Inc,gcordreydp@geocities.jp,channel4,channel1
495,Austin Please,"Stokes, Pagac and Botsford",apleasedq@cornell.edu,channel3,channel5
496,Caralie Carlisle,"Kiehn, Mayer and Will",ccarlisledr@people.com.cn,channel2,channel1
497,Tris Prue,Collins and Sons,tprueds@google.ru,channel1,channel1
498,Paulo Musso,Hickle Group,pmussodt@dion.ne.jp,channel4,channel1
499,Scotty Reijmers,Schimmel-Schowalter,sreijmersdu@canalblog.com,channel2,channel2
500,Emilee Eplett,O'Kon and Sons,eeplettdv@lulu.com,channel5,channel3
